Device: mps
Dataset: 133160 samples, 20 classes, input shape per sample: (3, 32, 21)
Model: STGCNGestureNet-jumbo  |  trainable params: 51,773,842
/Users/rickeabati/Library/Python/3.12/lib/python/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  super().__init__(loader)
epoch 007 | train_loss=0.7114 | val_loss=0.2599 | val_acc=0.9408 | val_f1=0.9266 | lr=9.97e-04
  epoch 008 [ 100/1665]  loss=0.7051
  epoch 008 [ 200/1665]  loss=0.7078
  epoch 008 [ 300/1665]  loss=0.7042
  epoch 008 [ 400/1665]  loss=0.7030
  epoch 008 [ 500/1665]  loss=0.7040
  epoch 008 [ 600/1665]  loss=0.7035
  epoch 008 [ 700/1665]  loss=0.7029
  epoch 008 [ 800/1665]  loss=0.7031
  epoch 008 [ 900/1665]  loss=0.7038
  epoch 008 [1000/1665]  loss=0.7034
  epoch 008 [1100/1665]  loss=0.7044
  epoch 008 [1200/1665]  loss=0.7047
  epoch 008 [1300/1665]  loss=0.7055
  epoch 008 [1400/1665]  loss=0.7059
  epoch 008 [1500/1665]  loss=0.7054
  epoch 008 [1600/1665]  loss=0.7051
epoch 008 | train_loss=0.7052 | val_loss=0.3412 | val_acc=0.9145 | val_f1=0.8940 | lr=9.93e-04
  epoch 009 [ 100/1665]  loss=0.6981
  epoch 009 [ 200/1665]  loss=0.6954
  epoch 009 [ 300/1665]  loss=0.6968
  epoch 009 [ 400/1665]  loss=0.6972
  epoch 009 [ 500/1665]  loss=0.6981
  epoch 009 [ 600/1665]  loss=0.6986
  epoch 009 [ 700/1665]  loss=0.6987
  epoch 009 [ 800/1665]  loss=0.6989
  epoch 009 [ 900/1665]  loss=0.7001
  epoch 009 [1000/1665]  loss=0.6999
  epoch 009 [1100/1665]  loss=0.6998
  epoch 009 [1200/1665]  loss=0.7002
  epoch 009 [1300/1665]  loss=0.6999
  epoch 009 [1400/1665]  loss=0.7000
  epoch 009 [1500/1665]  loss=0.6998
  epoch 009 [1600/1665]  loss=0.6995
epoch 009 | train_loss=0.6996 | val_loss=0.2847 | val_acc=0.9351 | val_f1=0.9189 | lr=9.87e-04
  epoch 010 [ 100/1665]  loss=0.6934
  epoch 010 [ 200/1665]  loss=0.6974
  epoch 010 [ 300/1665]  loss=0.6953
  epoch 010 [ 400/1665]  loss=0.6946
  epoch 010 [ 500/1665]  loss=0.6953
  epoch 010 [ 600/1665]  loss=0.6970
  epoch 010 [ 700/1665]  loss=0.6983
  epoch 010 [ 800/1665]  loss=0.6982
  epoch 010 [ 900/1665]  loss=0.6977
  epoch 010 [1000/1665]  loss=0.6972
  epoch 010 [1100/1665]  loss=0.6977
  epoch 010 [1200/1665]  loss=0.6979
  epoch 010 [1300/1665]  loss=0.6973
  epoch 010 [1400/1665]  loss=0.6970
  epoch 010 [1500/1665]  loss=0.6971
  epoch 010 [1600/1665]  loss=0.6969
epoch 010 | train_loss=0.6968 | val_loss=0.3100 | val_acc=0.9142 | val_f1=0.8952 | lr=9.80e-04
  epoch 011 [ 100/1665]  loss=0.6949
  epoch 011 [ 200/1665]  loss=0.6929
  epoch 011 [ 300/1665]  loss=0.6926
  epoch 011 [ 400/1665]  loss=0.6917
  epoch 011 [ 500/1665]  loss=0.6945
  epoch 011 [ 600/1665]  loss=0.6944
  epoch 011 [ 700/1665]  loss=0.6935
  epoch 011 [ 800/1665]  loss=0.6935
  epoch 011 [ 900/1665]  loss=0.6943
  epoch 011 [1000/1665]  loss=0.6939
  epoch 011 [1100/1665]  loss=0.6941
  epoch 011 [1200/1665]  loss=0.6946
  epoch 011 [1300/1665]  loss=0.6936
  epoch 011 [1400/1665]  loss=0.6936
  epoch 011 [1500/1665]  loss=0.6936
  epoch 011 [1600/1665]  loss=0.6936
epoch 011 | train_loss=0.6938 | val_loss=0.2857 | val_acc=0.9397 | val_f1=0.9231 | lr=9.71e-04
  epoch 012 [ 100/1665]  loss=0.6876
  epoch 012 [ 200/1665]  loss=0.6856
  epoch 012 [ 300/1665]  loss=0.6872
  epoch 012 [ 400/1665]  loss=0.6880
  epoch 012 [ 500/1665]  loss=0.6891
  epoch 012 [ 600/1665]  loss=0.6892
  epoch 012 [ 700/1665]  loss=0.6892
  epoch 012 [ 800/1665]  loss=0.6893
  epoch 012 [ 900/1665]  loss=0.6902
  epoch 012 [1000/1665]  loss=0.6896
  epoch 012 [1100/1665]  loss=0.6898
  epoch 012 [1200/1665]  loss=0.6903
  epoch 012 [1300/1665]  loss=0.6905
  epoch 012 [1400/1665]  loss=0.6911
  epoch 012 [1500/1665]  loss=0.6908
  epoch 012 [1600/1665]  loss=0.6911
epoch 012 | train_loss=0.6909 | val_loss=0.2778 | val_acc=0.9357 | val_f1=0.9206 | lr=9.61e-04
  epoch 013 [ 100/1665]  loss=0.6861
  epoch 013 [ 200/1665]  loss=0.6890
  epoch 013 [ 300/1665]  loss=0.6915
  epoch 013 [ 400/1665]  loss=0.6923
  epoch 013 [ 500/1665]  loss=0.6918
  epoch 013 [ 600/1665]  loss=0.6916
  epoch 013 [ 700/1665]  loss=0.6919
  epoch 013 [ 800/1665]  loss=0.6915
  epoch 013 [ 900/1665]  loss=0.6909
  epoch 013 [1000/1665]  loss=0.6908
  epoch 013 [1100/1665]  loss=0.6909
  epoch 013 [1200/1665]  loss=0.6907
